fecha,hora,modelo,operacion,tiempo,input,cached_input,output,coste
2026-07-19,09:16:20,gpt-5.4-mini,importar_test_imagen,3.86,2118,0,237,0.002655
2026-07-19,09:16:23,gpt-5.4-mini,importar_test_imagen,2.34,2195,0,242,0.002735
2026-07-19,09:16:25,gpt-5.4-mini,importar_test_imagen,2.35,2118,0,190,0.002443
2026-07-19,09:16:28,gpt-5.4-mini,importar_test_imagen,2.69,2272,0,255,0.002851
2026-07-19,09:16:31,gpt-5.4-mini,importar_test_imagen,2.92,2118,0,199,0.002484
2026-07-19,09:16:34,gpt-5.4-mini,importar_test_imagen,2.40,2349,0,300,0.003112
2026-07-19,09:16:36,gpt-5.4-mini,importar_test_imagen,1.84,2272,0,169,0.002465
2026-07-19,09:16:37,gpt-5.4-mini,importar_test_imagen,1.44,2118,0,117,0.002115
2026-07-19,09:16:41,gpt-5.4-mini,importar_test_imagen,3.04,2349,0,281,0.003026
2026-07-19,09:16:44,gpt-5.4-mini,importar_test_imagen,2.89,2426,0,340,0.003350
2026-07-19,09:16:47,gpt-5.4-mini,importar_test_imagen,2.80,2349,0,314,0.003175
2026-07-19,09:16:50,gpt-5.4-mini,importar_test_imagen,2.96,2349,0,308,0.003148
2026-07-19,09:16:53,gpt-5.4-mini,importar_test_imagen,2.81,2426,0,332,0.003314
2026-07-19,09:16:55,gpt-5.4-mini,importar_test_imagen,1.66,2195,0,176,0.002438
2026-07-19,09:16:57,gpt-5.4-mini,importar_test_imagen,2.38,2426,0,312,0.003223
2026-07-19,09:16:59,gpt-5.4-mini,importar_test_imagen,2.18,2195,0,225,0.002659
2026-07-19,09:17:02,gpt-5.4-mini,importar_test_imagen,2.02,2195,0,194,0.002519
2026-07-19,09:17:05,gpt-5.4-mini,importar_test_imagen,2.82,2502,0,384,0.003605
2026-07-19,09:17:07,gpt-5.4-mini,importar_test_imagen,2.55,2195,0,262,0.002825
2026-07-19,09:17:11,gpt-5.4-mini,importar_test_imagen,2.88,2349,0,327,0.003233
2026-07-19,09:17:13,gpt-5.4-mini,importar_test_imagen,2.12,2195,0,248,0.002762
2026-07-19,09:21:39,gpt-5.4-mini,importar_test_imagen,3.95,2272,1792,262,0.002883
2026-07-19,09:21:42,gpt-5.4-mini,importar_test_imagen,2.31,2042,1280,193,0.002400
2026-07-19,09:21:45,gpt-5.4-mini,importar_test_imagen,3.12,2118,1280,290,0.002894
2026-07-19,09:21:47,gpt-5.4-mini,importar_test_imagen,1.97,2118,1280,193,0.002457
2026-07-19,09:21:51,gpt-5.4-mini,importar_test_imagen,3.50,2886,2304,470,0.004280
2026-07-19,09:21:53,gpt-5.4-mini,importar_test_imagen,2.24,2195,0,278,0.002897
2026-07-19,09:21:55,gpt-5.4-mini,importar_test_imagen,1.85,2118,1280,189,0.002439
2026-07-19,09:30:30,gpt-5.4-mini,importar_test_imagen,3.55,2272,1792,262,0.002883
2026-07-19,09:30:32,gpt-5.4-mini,importar_test_imagen,2.14,2042,1280,193,0.002400
